"year","crop","fertilizer","kg_h"
1964,"Wheat","nitrogen",30.375
1964,"Wheat","phosphate",30.375
1964,"Wheat","potassium",38.25
1964,"Soybeans","nitrogen",15.75
1964,"Soybeans","phosphate",33.75
1964,"Soybeans","potassium",41.625
1964,"Corn","nitrogen",65.25
1964,"Corn","phosphate",46.125
1964,"Corn","potassium",46.125
1965,"Wheat","nitrogen",34.875
1965,"Wheat","phosphate",33.75
1965,"Wheat","potassium",39.375
1965,"Soybeans","nitrogen",11.25
1965,"Soybeans","phosphate",36
1965,"Soybeans","potassium",43.875
1965,"Corn","nitrogen",84.375
1965,"Corn","phosphate",56.25
1965,"Corn","potassium",54
1966,"Wheat","nitrogen",36
1966,"Wheat","phosphate",36
1966,"Wheat","potassium",41.625
1966,"Soybeans","nitrogen",13.5
1966,"Soybeans","phosphate",38.25
1966,"Soybeans","potassium",46.125
1966,"Corn","nitrogen",96.75
1966,"Corn","phosphate",64.125
1966,"Corn","potassium",64.125
1967,"Wheat","nitrogen",39.375
1967,"Wheat","phosphate",36
1967,"Wheat","potassium",43.875
1967,"Soybeans","nitrogen",14.625
1967,"Soybeans","phosphate",41.625
1967,"Soybeans","potassium",47.25
1967,"Corn","nitrogen",104.625
1967,"Corn","phosphate",67.5
1967,"Corn","potassium",67.5
1968,"Wheat","nitrogen",40.5
1968,"Wheat","phosphate",36
1968,"Wheat","potassium",40.5
1968,"Soybeans","nitrogen",16.875
1968,"Soybeans","phosphate",41.625
1968,"Soybeans","potassium",50.625
1968,"Corn","nitrogen",117
1968,"Corn","phosphate",72
1968,"Corn","potassium",73.125
1969,"Wheat","nitrogen",42.75
1969,"Wheat","phosphate",38.25
1969,"Wheat","potassium",43.875
1969,"Soybeans","nitrogen",13.5
1969,"Soybeans","phosphate",46.125
1969,"Soybeans","potassium",54
1969,"Corn","nitrogen",123.75
1969,"Corn","phosphate",72
1969,"Corn","potassium",75.375
1970,"Wheat","nitrogen",43.875
1970,"Wheat","phosphate",33.75
1970,"Wheat","potassium",40.5
1970,"Soybeans","nitrogen",15.75
1970,"Soybeans","phosphate",41.625
1970,"Soybeans","potassium",57.375
1970,"Corn","nitrogen",126
1970,"Corn","phosphate",79.875
1970,"Corn","potassium",81
1971,"Wheat","nitrogen",45
1971,"Wheat","phosphate",38.25
1971,"Wheat","potassium",40.5
1971,"Soybeans","nitrogen",16.875
1971,"Soybeans","phosphate",43.875
1971,"Soybeans","potassium",54
1971,"Corn","nitrogen",120.375
1971,"Corn","phosphate",69.75
1971,"Corn","potassium",72
1972,"Wheat","nitrogen",51.75
1972,"Wheat","phosphate",41.625
1972,"Wheat","potassium",42.75
1972,"Soybeans","nitrogen",15.75
1972,"Soybeans","phosphate",47.25
1972,"Soybeans","potassium",57.375
1972,"Corn","nitrogen",129.375
1972,"Corn","phosphate",74.25
1972,"Corn","potassium",77.625
1973,"Wheat","nitrogen",54
1973,"Wheat","phosphate",42.75
1973,"Wheat","potassium",40.5
1973,"Soybeans","nitrogen",15.75
1973,"Soybeans","phosphate",47.25
1973,"Soybeans","potassium",61.875
1973,"Corn","nitrogen",128.25
1973,"Corn","phosphate",72
1973,"Corn","potassium",79.875
1974,"Wheat","nitrogen",51.75
1974,"Wheat","phosphate",42.75
1974,"Wheat","potassium",41.625
1974,"Soybeans","nitrogen",16.875
1974,"Soybeans","phosphate",46.125
1974,"Soybeans","potassium",61.875
1974,"Corn","nitrogen",115.875
1974,"Corn","phosphate",69.75
1974,"Corn","potassium",82.125
1975,"Wheat","nitrogen",51.75
1975,"Wheat","phosphate",39.375
1975,"Wheat","potassium",39.375
1975,"Soybeans","nitrogen",16.875
1975,"Soybeans","phosphate",45
1975,"Soybeans","potassium",59.625
1975,"Corn","nitrogen",118.125
1975,"Corn","phosphate",65.25
1975,"Corn","potassium",75.375
1976,"Wheat","nitrogen",57.375
1976,"Wheat","phosphate",41.625
1976,"Wheat","potassium",41.625
1976,"Soybeans","nitrogen",15.75
1976,"Soybeans","phosphate",47.25
1976,"Soybeans","potassium",67.5
1976,"Corn","nitrogen",142.875
1976,"Corn","phosphate",75.375
1976,"Corn","potassium",87.75
1977,"Wheat","nitrogen",59.625
1977,"Wheat","phosphate",43.875
1977,"Wheat","potassium",46.125
1977,"Soybeans","nitrogen",18
1977,"Soybeans","phosphate",50.625
1977,"Soybeans","potassium",67.5
1977,"Corn","nitrogen",144
1977,"Corn","phosphate",76.5
1977,"Corn","potassium",92.25
1978,"Wheat","nitrogen",58.5
1978,"Wheat","phosphate",39.375
1978,"Wheat","potassium",38.25
1978,"Soybeans","nitrogen",19.125
1978,"Soybeans","phosphate",50.625
1978,"Soybeans","potassium",69.75
1978,"Corn","nitrogen",141.75
1978,"Corn","phosphate",76.5
1978,"Corn","potassium",90
1979,"Wheat","nitrogen",60.75
1979,"Wheat","phosphate",42.75
1979,"Wheat","potassium",48.375
1979,"Soybeans","nitrogen",18
1979,"Soybeans","phosphate",51.75
1979,"Soybeans","potassium",75.375
1979,"Corn","nitrogen",151.875
1979,"Corn","phosphate",77.625
1979,"Corn","potassium",94.5
1980,"Wheat","nitrogen",65.25
1980,"Wheat","phosphate",43.875
1980,"Wheat","potassium",45
1980,"Soybeans","nitrogen",19.125
1980,"Soybeans","phosphate",51.75
1980,"Soybeans","potassium",78.75
1980,"Corn","nitrogen",146.25
1980,"Corn","phosphate",74.25
1980,"Corn","potassium",96.75
1981,"Wheat","nitrogen",65.25
1981,"Wheat","phosphate",43.875
1981,"Wheat","potassium",52.875
1981,"Soybeans","nitrogen",20.25
1981,"Soybeans","phosphate",51.75
1981,"Soybeans","potassium",85.5
1981,"Corn","nitrogen",154.125
1981,"Corn","phosphate",75.375
1981,"Corn","potassium",96.75
1982,"Wheat","nitrogen",66.375
1982,"Wheat","phosphate",41.625
1982,"Wheat","potassium",46.125
1982,"Soybeans","nitrogen",19.125
1982,"Soybeans","phosphate",48.375
1982,"Soybeans","potassium",76.5
1982,"Corn","nitrogen",151.875
1982,"Corn","phosphate",73.125
1982,"Corn","potassium",96.75
1983,"Wheat","nitrogen",67.5
1983,"Wheat","phosphate",43.875
1983,"Wheat","potassium",54
1983,"Soybeans","nitrogen",20.25
1983,"Soybeans","phosphate",50.625
1983,"Soybeans","potassium",78.75
1983,"Corn","nitrogen",154.125
1983,"Corn","phosphate",72
1983,"Corn","potassium",95.625
1984,"Wheat","nitrogen",69.75
1984,"Wheat","phosphate",41.625
1984,"Wheat","potassium",51.75
1984,"Soybeans","nitrogen",19.125
1984,"Soybeans","phosphate",51.75
1984,"Soybeans","potassium",81
1984,"Corn","nitrogen",155.25
1984,"Corn","phosphate",73.125
1984,"Corn","potassium",97.875
1985,"Wheat","nitrogen",67.5
1985,"Wheat","phosphate",39.375
1985,"Wheat","potassium",40.5
1985,"Soybeans","nitrogen",16.875
1985,"Soybeans","phosphate",48.375
1985,"Soybeans","potassium",81
1985,"Corn","nitrogen",157.5
1985,"Corn","phosphate",67.5
1985,"Corn","potassium",94.5
1986,"Wheat","nitrogen",67.5
1986,"Wheat","phosphate",40.5
1986,"Wheat","potassium",49.5
1986,"Soybeans","nitrogen",16.875
1986,"Soybeans","phosphate",48.375
1986,"Soybeans","potassium",79.875
1986,"Corn","nitrogen",148.5
1986,"Corn","phosphate",68.625
1986,"Corn","potassium",90
1987,"Wheat","nitrogen",69.75
1987,"Wheat","phosphate",39.375
1987,"Wheat","potassium",48.375
1987,"Soybeans","nitrogen",22.5
1987,"Soybeans","phosphate",52.875
1987,"Soybeans","potassium",84.375
1987,"Corn","nitrogen",148.5
1987,"Corn","phosphate",68.625
1987,"Corn","potassium",95.625
1988,"Wheat","nitrogen",72
1988,"Wheat","phosphate",41.625
1988,"Wheat","potassium",58.5
1988,"Soybeans","nitrogen",24.75
1988,"Soybeans","phosphate",54
1988,"Soybeans","potassium",88.875
1988,"Corn","nitrogen",154.125
1988,"Corn","phosphate",70.875
1988,"Corn","potassium",95.625
1989,"Wheat","nitrogen",69.75
1989,"Wheat","phosphate",41.625
1989,"Wheat","potassium",51.75
1989,"Soybeans","nitrogen",20.25
1989,"Soybeans","phosphate",51.75
1989,"Soybeans","potassium",83.25
1989,"Corn","nitrogen",147.375
1989,"Corn","phosphate",66.375
1989,"Corn","potassium",91.125
1990,"Wheat","nitrogen",66.375
1990,"Wheat","phosphate",40.5
1990,"Wheat","potassium",49.5
1990,"Soybeans","nitrogen",27
1990,"Soybeans","phosphate",52.875
1990,"Soybeans","potassium",91.125
1990,"Corn","nitrogen",148.5
1990,"Corn","phosphate",67.5
1990,"Corn","potassium",94.5
1991,"Wheat","nitrogen",69.75
1991,"Wheat","phosphate",40.5
1991,"Wheat","potassium",48.375
1991,"Soybeans","nitrogen",28.125
1991,"Soybeans","phosphate",52.875
1991,"Soybeans","potassium",85.5
1991,"Corn","nitrogen",144
1991,"Corn","phosphate",67.5
1991,"Corn","potassium",91.125
1992,"Wheat","nitrogen",70.875
1992,"Wheat","phosphate",38.25
1992,"Wheat","potassium",43.875
1992,"Soybeans","nitrogen",24.75
1992,"Soybeans","phosphate",52.875
1992,"Soybeans","potassium",84.375
1992,"Corn","nitrogen",142.875
1992,"Corn","phosphate",64.125
1992,"Corn","potassium",88.875
1993,"Wheat","nitrogen",72
1993,"Wheat","phosphate",38.25
1993,"Wheat","potassium",39.375
1993,"Soybeans","nitrogen",23.625
1993,"Soybeans","phosphate",51.75
1993,"Soybeans","potassium",88.875
1993,"Corn","nitrogen",138.375
1993,"Corn","phosphate",63
1993,"Corn","potassium",88.875
1994,"Wheat","nitrogen",75.375
1994,"Wheat","phosphate",39.375
1994,"Wheat","potassium",42.75
1994,"Soybeans","nitrogen",28.125
1994,"Soybeans","phosphate",52.875
1994,"Soybeans","potassium",92.25
1994,"Corn","nitrogen",145.125
1994,"Corn","phosphate",64.125
1994,"Corn","potassium",90
1995,"Wheat","nitrogen",73.125
1995,"Wheat","phosphate",37.125
1995,"Wheat","potassium",42.75
1995,"Soybeans","nitrogen",32.625
1995,"Soybeans","phosphate",60.75
1995,"Soybeans","potassium",95.625
1995,"Corn","nitrogen",146.25
1995,"Corn","phosphate",63
1995,"Corn","potassium",87.75
1996,"Wheat","nitrogen",73.125
1996,"Wheat","phosphate",38.25
1996,"Wheat","potassium",45
1996,"Soybeans","nitrogen",27
1996,"Soybeans","phosphate",55.125
1996,"Soybeans","potassium",95.625
1996,"Corn","nitrogen",149.625
1996,"Corn","phosphate",64.125
1996,"Corn","potassium",88.875
1997,"Wheat","nitrogen",75.375
1997,"Wheat","phosphate",37.125
1997,"Wheat","potassium",47.25
1997,"Soybeans","nitrogen",28.125
1997,"Soybeans","phosphate",56.25
1997,"Soybeans","potassium",99
1997,"Corn","nitrogen",146.25
1997,"Corn","phosphate",64.125
1997,"Corn","potassium",91.125
1998,"Wheat","nitrogen",75.375
1998,"Wheat","phosphate",37.125
1998,"Wheat","potassium",43.875
1998,"Soybeans","nitrogen",25.875
1998,"Soybeans","phosphate",54
1998,"Soybeans","potassium",91.125
1998,"Corn","nitrogen",149.625
1998,"Corn","phosphate",60.75
1998,"Corn","potassium",92.25
1999,"Wheat","nitrogen",77.625
1999,"Wheat","phosphate",37.125
1999,"Wheat","potassium",43.875
1999,"Soybeans","nitrogen",23.625
1999,"Soybeans","phosphate",51.75
1999,"Soybeans","potassium",87.75
1999,"Corn","nitrogen",149.625
1999,"Corn","phosphate",60.75
1999,"Corn","potassium",91.125
2000,"Wheat","nitrogen",76.5
2000,"Wheat","phosphate",37.125
2000,"Wheat","potassium",43.875
2000,"Soybeans","nitrogen",27
2000,"Soybeans","phosphate",54
2000,"Soybeans","potassium",85.5
2000,"Corn","nitrogen",153
2000,"Corn","phosphate",64.125
2000,"Corn","potassium",88.875
2001,"Wheat","nitrogen",76.5
2001,"Wheat","phosphate",38.25
2001,"Wheat","potassium",46.125
2001,"Soybeans","nitrogen",27
2001,"Soybeans","phosphate",55.125
2001,"Soybeans","potassium",94.5
2001,"Corn","nitrogen",142.875
2001,"Corn","phosphate",64.125
2001,"Corn","potassium",93.375
2002,"Wheat","nitrogen",76.5
2002,"Wheat","phosphate",39.375
2002,"Wheat","potassium",48.375
2002,"Soybeans","nitrogen",23.625
2002,"Soybeans","phosphate",55.125
2002,"Soybeans","potassium",100.125
2002,"Corn","nitrogen",154.125
2002,"Corn","phosphate",67.5
2002,"Corn","potassium",95.625
2003,"Wheat","nitrogen",75.375
2003,"Wheat","phosphate",39.375
2003,"Wheat","potassium",NA
2003,"Soybeans","nitrogen",NA
2003,"Soybeans","phosphate",NA
2003,"Soybeans","potassium",NA
2003,"Corn","nitrogen",153
2003,"Corn","phosphate",66.375
2003,"Corn","potassium",95.625
2004,"Wheat","nitrogen",101.25
2004,"Wheat","phosphate",50.625
2004,"Wheat","potassium",34.875
2004,"Soybeans","nitrogen",31.5
2004,"Soybeans","phosphate",77.625
2004,"Soybeans","potassium",136.125
2004,"Corn","nitrogen",NA
2004,"Corn","phosphate",NA
2004,"Corn","potassium",NA
2005,"Wheat","nitrogen",NA
2005,"Wheat","phosphate",NA
2005,"Wheat","potassium",NA
2005,"Soybeans","nitrogen",NA
2005,"Soybeans","phosphate",NA
2005,"Soybeans","potassium",NA
2005,"Corn","nitrogen",155.25
2005,"Corn","phosphate",65.25
2005,"Corn","potassium",94.5
2006,"Wheat","nitrogen",73.125
2006,"Wheat","phosphate",36
2006,"Wheat","potassium",31.5
2006,"Soybeans","nitrogen",18
2006,"Soybeans","phosphate",51.75
2006,"Soybeans","potassium",90
2006,"Corn","nitrogen",NA
2006,"Corn","phosphate",NA
2006,"Corn","potassium",NA
2007,"Wheat","nitrogen",NA
2007,"Wheat","phosphate",NA
2007,"Wheat","potassium",NA
2007,"Soybeans","nitrogen",NA
2007,"Soybeans","phosphate",NA
2007,"Soybeans","potassium",NA
2007,"Corn","nitrogen",NA
2007,"Corn","phosphate",NA
2007,"Corn","potassium",NA
2008,"Wheat","nitrogen",NA
2008,"Wheat","phosphate",NA
2008,"Wheat","potassium",NA
2008,"Soybeans","nitrogen",NA
2008,"Soybeans","phosphate",NA
2008,"Soybeans","potassium",NA
2008,"Corn","nitrogen",NA
2008,"Corn","phosphate",NA
2008,"Corn","potassium",NA
2009,"Wheat","nitrogen",73.125
2009,"Wheat","phosphate",34.875
2009,"Wheat","potassium",23.625
2009,"Soybeans","nitrogen",NA
2009,"Soybeans","phosphate",NA
2009,"Soybeans","potassium",NA
2009,"Corn","nitrogen",NA
2009,"Corn","phosphate",NA
2009,"Corn","potassium",NA
2010,"Wheat","nitrogen",NA
2010,"Wheat","phosphate",NA
2010,"Wheat","potassium",NA
2010,"Soybeans","nitrogen",NA
2010,"Soybeans","phosphate",NA
2010,"Soybeans","potassium",NA
2010,"Corn","nitrogen",157.5
2010,"Corn","phosphate",67.5
2010,"Corn","potassium",88.875
2011,"Wheat","nitrogen",NA
2011,"Wheat","phosphate",NA
2011,"Wheat","potassium",NA
2011,"Soybeans","nitrogen",NA
2011,"Soybeans","phosphate",NA
2011,"Soybeans","potassium",NA
2011,"Corn","nitrogen",NA
2011,"Corn","phosphate",NA
2011,"Corn","potassium",NA
2012,"Wheat","nitrogen",77.625
2012,"Wheat","phosphate",38.25
2012,"Wheat","potassium",27
2012,"Soybeans","nitrogen",18
2012,"Soybeans","phosphate",55.125
2012,"Soybeans","potassium",90
2012,"Corn","nitrogen",NA
2012,"Corn","phosphate",NA
2012,"Corn","potassium",NA
2013,"Wheat","nitrogen",NA
2013,"Wheat","phosphate",NA
2013,"Wheat","potassium",NA
2013,"Soybeans","nitrogen",NA
2013,"Soybeans","phosphate",NA
2013,"Soybeans","potassium",NA
2013,"Corn","nitrogen",NA
2013,"Corn","phosphate",NA
2013,"Corn","potassium",NA
2014,"Wheat","nitrogen",NA
2014,"Wheat","phosphate",NA
2014,"Wheat","potassium",NA
2014,"Soybeans","nitrogen",NA
2014,"Soybeans","phosphate",NA
2014,"Soybeans","potassium",NA
2014,"Corn","nitrogen",162
2014,"Corn","phosphate",72
2014,"Corn","potassium",92.25
2015,"Wheat","nitrogen",77.625
2015,"Wheat","phosphate",37.125
2015,"Wheat","potassium",33.75
2015,"Soybeans","nitrogen",19.125
2015,"Soybeans","phosphate",57.375
2015,"Soybeans","potassium",93.375
2015,"Corn","nitrogen",NA
2015,"Corn","phosphate",NA
2015,"Corn","potassium",NA
2016,"Corn","nitrogen",163.125
2016,"Corn","phosphate",68.625
2016,"Corn","potassium",90
